category_id,drug_N,품목기준코드,제품명,제조/수입사,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약을 사용하기 전에 반드시 알아야 할 내용은 무엇입니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?,Unnamed: 12
126,K-011982,200201784,쎄락틸정,고려제약(주),"이 약은 만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용합니다.","성인은 1회 1정(300 mg)씩, 1일 2~4회 복용합니다. 단, 1일 4정(1,200 mg)을 초과하지 않습니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다. 이 약 복용 시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증, 뇌졸중의 위험이 증가하며 심각한 심혈관계 이상반응이 나타날 수 있습니다. 이 약 복용 시 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응이 나타날 수 있습니다.",약물투여의 중요성을 고려하여 수유를 중단하거나 약물투여를 중단하십시오. 이 약 복용 후 어지러움 또는 피로가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오. 급성질환에 장기 복용할 경우 원칙적으로 5일 이내로 합니다.,"아스피린, 다른 비스테로이드성 소염진통제, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.",,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
127,K-012003,200201855,올바펜정,동인당제약(주),"이 약은 감기로 인한 발열 및 통증, 치통과 두통, 신경통, 근육통, 월경통, 관절통, 류마티스성 통증에 사용합니다.","성인은 1회 1~2정, 1일 3회 공복을 피하여 복용합니다. 복용간격은 4시간 이상으로 합니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증(예: 발진, 충혈되어 붉어짐, 가려움, 후두, 눈꺼풀, 입술의 부기) 환자 및 경험자, 다른 해열진통제(비스테로이드성소염진통제), 감기약 복용시 천식발작 또는 경험자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 바르비탈계 약물, 삼환계 항우울제, 알코올을 복용한 사람은 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애 또는 경험자, 신장장애 또는 경험자, 소화성궤양 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상이 있는 환자, 기관지천식, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품, 다른 소염진통제, 바르비탈계 약물, 삼환계 항우울제와 함께 복용하지 마십시오. 와파린, 리튬, 티아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기, 천식발작, 후두, 눈꺼풀, 입술의 부기, 가슴답답함, 창백, 수족냉증, 식은땀, 숨가쁨), 혈소판감소, 과립구감소, 용혈성(적혈구 파괴성)빈혈, 메트헤모글로빈혈증, 혈소판기능저하(출혈시간 연장), 청색증, 과민반응(얼굴부기, 저혈압), 구역, 구토, 식욕부진, 위장출혈, 소화성궤양, 천공, 발진, 피부점막안 증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 수반하며 발진, 충혈되어 붉어짐, 화상모양 수포 등의 격렬한 증상이 전신피부, 입 및 눈의 점막에 나타난 경우), 전신의 나른함, 황달, 과도한 체온강하, 허탈, 사지냉각 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
128,K-012081,200202194,리렉스펜정,한미약품(주),"이 약은 신경통, 근육통, 관절통, 요(허리)통, 염좌통(삔 통증), 견통(어깨결림), 근경련(근육경련), 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용합니다.","성인은 1회 2정 1일 4회까지 공복을 피하여 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"이 약에 과민증 환자, 클로르족사존에 과민증, 아세트아미노펜에 과민증, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오.",아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 알코올과 함께 복용 시 의사 또는 약사와 상의하십시오.,"두드러기, 발적(충혈되어 붉어짐), 가려움증, 알레르기성 피부발진, 점상출혈(출혈점), 반상출혈(피부에 검보랏빛 얼룩점이 생기는 내부출혈), 요변색, 매우 드물게 혈관신경성 부기 또는 아나필락시스 증상, 간기능 이상 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위장장애, 졸음, 어지러움, 두통, 권태, 과도한 흥분, 드물게 위장출혈이 나타날 수 있습니다.",실온에서 보관하십시오.,
129,K-012192,200202755,에스프로펜정,(주)유영제약,"이 약은 만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증·통증 및 발열을 수반하는 감염증의 치료보조에 사용합니다.","성인은 1회 1정(300 mg)씩, 1일 2~4회 복용합니다. 단, 1일 4정(1,200 mg)을 초과하지 않습니다.","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다. 이 약 복용 시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증, 뇌졸중의 위험이 증가하며 심각한 심혈관계 이상반응이 나타날 수 있습니다. 이 약 복용 시 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응이 나타날 수 있습니다.",약물투여의 중요성을 고려하여 수유를 중단하거나 약물투여를 중단하십시오. 이 약 복용 후 어지러움 또는 피로가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오. 급성질환에 장기 복용할 경우 원칙적으로 5일 이내로 합니다.,"아스피린, 다른 비스테로이드성 소염진통제, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.",,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
130,K-012244,200202873,엔시드시간이알서방정,한림제약(주),"이 약은 해열 및 감기에 의한 동통(통증)과 두통, 치통, 근육통, 허리동통(통증), 생리통, 관절통의 완화에 사용합니다.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용합니다. 24시간 동안 6정을 초과하지 마십시오.,"매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스- 존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능저하, 아스피린 또는 다른 소염진통제에 의한 천식 경험 환자, 바르비탈계 약물, 삼환계 항우울제 복용한 환자, 알코올을 복용한 사람, 12세 미만의 소아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애, 신장(콩팥)장애, 소화성궤양, 혈액이상, 출혈경향, 심장기능이상, 과민증 경험자, 기관지천식, 노인, 임부 또는 수유부는 의사 또는 약사와 상의하십시오. 의사 또는 약사의 지시없이 통증에 10일 이상(성인) 또는 5일 이상(소아) 복용하지 않고 발열에 3일 이상 복용하지 않습니다. 이 약은 서방형 제제이므로 정제를 으깨거나 씹거나 녹이지 말고 그대로 삼켜서 복용합니다.","다른 소염(항염)진통제, 아세트아미노펜을 포함하는 다른 제품, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 와파린, 리튬, 티아지드계 이뇨제를 복용한 환자는 의사 또는 약사와 상의하십시오.",,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
131,K-012249,200202893,우먼스타이레놀정,(주)한국얀센,"이 약은 월경 전 긴장증, 부종, 경련, 요통 및 두통의 완화에 사용합니다.",성인 및 12세 이상의 소아는 1회 1~2정을 필요시 6시간 간격으로 복용합니다. 1일 용량은 6정을 초과하지 않습니다.,"매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약에 과민증 환자, 다른 감기약, 해열진통제를 사용하여 천식 경험자, 12세 미만의 소아, 아세트아미노펜이 함유된 다른 약물을 이미 복용하고 있는 사람은 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 두드러기, 접촉성피부염, 기관지천식, 알레르기성 비염(코염), 편두통, 음식물 알레르기 등을 일으키기 쉬운 체질, 간장애, 신장애, 갑상선 질환, 당뇨병, 고혈압, 몸이 약한 사람, 고열, 고령자, 임부 및 수유부는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","다른 해열진통제, 아세트아미노펜을 포함하는 다른 제품, 감기약, 바르비탈계 진정제, 삼환계 항우울제 및 알코올과 함께 복용하지 마십시오.","급성전신발진고름물집증, 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), 새로운 증상, 부종, 통증이 10일 이상 지속되거나 복용전보다 더 심해진 경우, 구역, 구토, 변비, 식욕부진, 어지러움, 쇽 증상(복용 후 바로 두드러기, 부종(부기), 가슴답답함, 창백, 수족냉증, 식은땀, 숨가쁨), 고열과 동반하는 발진, 발적(충혈되어 붉어짐), 화상모양 수포 등의 격렬한 증상이 전신피부, 입 및 눈의 점막에 나타난 경우, 천식, 고정발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
132,K-012256,200202928,제스부틴정,(주)알피바이오,"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 황색4호에 과민증 환자 또는 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.,
133,K-012758,200300376,피로펜정,정우신약(주),"이 약은 신경통, 근육통, 관절통, 요(허리)통, 염좌통(삔 통증), 견통(어깨결림), 근경련(근육경련), 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용합니다.","성인은 1회 2정, 1일 4회까지 공복을 피하여 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"이 약에 과민증 환자, 클로르족사존에 과민증, 아세트아미노펜에 과민증, 과민증상(발진, 충혈되어 붉어짐, 가려움, 후두, 눈꺼풀, 입술의 부기) 경험자 및 다른 감기약, 해열진통제 사용 시 천식 경험자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오.","아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오. 바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자가 이 약을 함께 복용 시 의사 또는 약사와 상의하십시오.","두드러기, 부종(후두, 눈꺼풀, 입술, 등), 가슴답답함 등과 함께 안색이 창백해지고, 수족이 차가워지고, 식은땀, 숨가뿜, 고열을 수반하며 발진, 발적, 화상모양 수포 등의 격렬한 증상이 전신피부, 입 및 눈의 점막에 나타난 경우, 천식, 간기능 이상, 드물게 알레르기성 피부발진, 점상출혈, 반상출혈, 요변색, 매우 드물게 혈관신경성 부종 또는 아낙필락시스 증상이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위장장애, 졸음, 어지러움, 두통, 권태, 과도한 흥분, 드물게 위장출혈이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
134,K-012769,200300406,닥터베아제정,(주)대웅제약,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인 1회 1정을 1일 3회 식후에 복용합니다.,,"만 7세 이하의 소아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 이 약 또는 황색4호에 과민증 환자는 의사 또는 약사와 상담하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.",,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
135,K-012865,200300623,알비정,알리코제약(주),"이 약은 회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용합니다.","성인 및 24개월 이상의 소아는 요충에 1일 1회 1정(400 mg)을 복용합니다. 박멸을 위하여 7일 뒤, 한번만 더 1정(400 mg)을 복용합니다. 회충, 십이지장충, 편충, 아메리카구충에 1회 1정(400 mg)을 단회 복용합니다. 분선충의 다른 기생충(조충)과 중증 혼합 감염 시에 1일 1회 1정(400 mg) 씩 3일간 복용합니다. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다.",이 약은 체내에서 페닐알라닌으로 대사되는 아스파탐이 함유되어 페닐알라닌의 섭취를 규제할 필요가 있는 페닐케톤뇨증 환자는 복용하지 마십시오.,"이 약에 과민증 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 2세 미만의 소아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애, 신장애, 황색5호에 과민증 환자 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오. 이 약 복용 전에는 반드시 임신 중이 아님을 확인하고 복용하십시오. 때때로 회복 가능한 백혈구 수의 감소를 유발할 수 있고, 경증 내지 중등도의 간 효소치가 증가할 수 있습니다.","테오필린, 시메티딘, 프라지콴텔, 덱사메타손, 리토나비르, 페니토인, 카르바마제핀, 페노바르비탈과 함께 복용하지 마십시오.","피부점막안증후군(스티븐스-존슨증후군), 다형홍반(여러 모양의 붉은 반점), 구역, 구토, 속쓰림, 설사, 상복부 또는 복부 통증 등의 위장관 장애 또는 두통 및 어지럼, 드물게 발열, 전신 발적(충혈되어 붉어짐), 발진, 가려움, 두드러기 등의 과민반응, 회복 가능한 탈모증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
136,K-012914,200300725,엠피스정,에이프로젠제약(주),"이 약은 신경통, 근육통, 관절통, 허리통, 삠 통증, 어깨통증, 근육경련, 근경직 등 근육의 이상 긴장을 수반하는 여러 질환에 사용합니다.","성인은 1회 2정씩, 1일 4회까지 공복 시를 피하여 복용합니다. 연령, 증상에 따라 적절히 증감합니다.","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","클로르족사존 및 아세트아미노펜에 과민증 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 심한 간, 신장애, 알레르기 환자 또는 약물 알레르기 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오.","알코올, 중추신경억제제와 함께 복용 시 의사 또는 약사와 상의하십시오.","두드러기, 발적(충혈되어 붉어짐), 가려움증, 드물게 알레르기성 피부발진, 점상출혈(출혈점), 반상출혈(피부에 검보랏빛 얼룩점이 생기는 내부출혈), 소변색이 변함, 매우 드물게 혈관신경성 부종 또는 쇽 증상, 간기능 이상, 때때로 위장장애, 드물게 위장출혈, 때때로 졸음, 어지러움, 두통, 권태, 과도한 흥분 등이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
137,K-013135,200301181,포부틴정,한국유니온제약(주),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토), 과민성대장증후군 및 경련성 결장, 소아 질환(습관성 구토, 비감염성 장관통과장애 (변비, 설사))에 사용합니다.","성인은 1회 100~200 mg 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT 상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.,
138,K-013256,200301486,람노스캡슐,한화제약(주),이 약은 장내균총의 정상화에 의한 정장 및 설사증상의 개선에 사용합니다.,성인은 1일 2~8캡슐을 개봉하지 않고 물과 함께 삼켜 복용합니다.,,"이 약에 과민증 환자, 임부 또는 임신하고 있을 가능성이 있는 여성은 이 약을 복용하지 마십시오. 설사로 인한 수분손실을 보충하기 위해, 염분 또는 당을 함유하고 있는 음료를 충분히 마십니다. 정해진 용법과 용량을 잘 지키십시오.","주로 익힌 고기 및 밥을 먹고 설사시 식사를 계속하는 경우 생음식, 과일, 야채, 매운음식 및 냉동된 음식 또는 음료는 먹지 마십시오.",,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오. 이 약은 용기 개봉 후에는 1개월 이내에 사용되어야 합니다.,
139,K-013259,200301499,마그네스정,대화제약(주),"이 약은 임신·수유기, 병중･병후의 체력 저하 시 비타민 B6의 보급과 마그네슘결핍으로 인한 근육경련에 사용합니다.","성인은 1회 2정씩, 1일 3회 식사 중 다량의 물과 함께 복용합니다.",,"이 약에 과민증 환자, 만 12개월 미만의 젖먹이, 심한 증상의 신부전, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 심장, 순환기계기능 장애, 신장장애, 저단백혈증 환자, 임부, 황색4·5호 과민증 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오. 1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오.","인산염, 칼슘염 제제, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오. 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오.","붉은 반점, 설사, 부전수축(심장박동정지), 중추신경계 기능저하 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
140,K-013332,200301610,엘도랄정,경동제약(주),이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1정(300 mg)을 1일 2~3회 복용합니다. 급성 호흡기질환에 투여 시 연속으로 10일 이상 투여하지 않습니다.,,"이 약에 과민증 환자, 간경변, 시스타티오닌 합성효소 결핍, 소화성궤양, 중증 신장장애(크레아티닌청소율이<25 mL/min), 중증 간장애 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 경증 및 중등도 간장애 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.",기침약을 복용중인 사람은 의사 또는 약사와 상의하십시오.,"두통, 감기, 호흡곤란, 미각이상, 구역, 구토, 설사, 상복부통, 복통, 속쓰림, 두드러기, 홍반, 습진 등이 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
141,K-013378,200301766,데이감에스정,미래제약(주),"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.",성인은 4∼6시간마다 1회 1∼2정씩 복용합니다. 최대 하루 8정을 초과하지 않습니다.,"매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다. 급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오. 아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.","이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 만 3개월 이상 및 만 1세 미만의 영아, 유아, 알레르기 등을 일으키기 쉬운 체질, 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등)경험자, 간장질환, 신장(콩팥)질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔)곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열ㆍ발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의하십시오. 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자, 와파린, 리튬, 티아지드계이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오.",,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
142,K-013390,200301805,소하자임플러스정,한미약품(주),"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체(위체), 구역, 구토, 위통, 신트림, 소화불량, 식욕부진, 과식, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정씩, 1일 3회 매 식후에 복용합니다.",,"투석요법을 받고 있는 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자, 소아(15세 미만), 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 이 약에 과민증 환자, 신장애, 간장애, 인산염 저하가 있는 환자, 황색4호 과민증 또는 알레르기 반응 경험자, 혈압이 높은 환자, 고령자, 심장장애, 신장장애, 부종 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오.","위장진통, 진경제와 함께 복용하지 마십시오. 칼륨함유제제, 감초함유제제, 글리시리진산 혹은 그 염류 함유제제, 루프계 이뇨제(푸로세미드, 에타크린산) 또는 티아지드계 이뇨제(트리클로르메티아지드)와 함께 복용 시 의사 또는 약사와 상의하십시오.","알레르기 증상(발진, 가려움 등), 동계, 졸음, 현훈(어지러움), 권태감, 두통, 변비, 또는 입이 마르는 증상, 뇨량이 감소하거나, 얼굴이나 손발이 붓거나, 눈꺼풀이 무겁거나, 손이 굳어지거나, 혈압이 오르거나, 근병증(무력감, 사지경련, 마비 등) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 드물게 심계항진, GOT, GPT 상승이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
